FR,,,,,EN,,,,ES,,,,DE,,,,IT,,,
Véhicule,,,,,Vehicle,,,,Vehículo,,,,Fahrzeug,,,,Veicolo,,,
,Changer le filtre à gasoil,,,01.03,Changing the diesel fuel filter,,,01.03,Cambiar el filtro de gasóil,,,01.03,Den Kraftstofffilter wechseln,,,01.03,Cambiare il filtro del gasolio ,,,01.03
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,Pas d'outils nécessaires,,T0,,No tools needed,,,,No se necesitan herramientas,,,,Keine Werkzeuge notwendig,,,,Non servono attrezzi,,,
,Retirer le filtre à gasoil,,2,,Removing the diesel fuel filter,,2,,Retirar el filtro de gasóil,,2,,Den Kraftstofffilter entfernen,,2,,Rimuovere il filtro del gasolio ,,2,
,Tournevis plat,,T21,,Flat head screwdriver,,,,Destornillador plano,,,,Flachschraubenzieher,,,,Cacciavite a taglio,,,
,Douille de 10,,T34.10,,10mm Socket,,,,Casquillo del 10,,,,10 mm Steckschlüsseleinsatz,,,,Bussola da 10,,,
,Petit cliquet + rallonge,,T9,,Small socket wrench + extender,,,,Llave de carraca pequeña + alargador,,,,Kleiner Steckschlüssel + Verlängerung,,,,Chiave a bussola piccola + prolunga,,,
,Préparer le nouveau filtre à gasoil,,3,,Set up the new diesel fuel filter,,3,,Preparar el nuevo filtro de gasóil,,3,,Den neuen Kraftstofffilter vorbereiten,,3,,Preparare il nuovo filtro,,3,
,Tournevis plat,,T21,,Flat head screwdriver,,,,Destornillador plano,,,,Flachschraubenzieher,,,,Cacciavite a taglio,,,
,Installer le nouveau filtre à gasoil,,4,,Installing the new diesel fuel filter,,4,,Instalar el nuevo filtro de gasóil,,4,,Den neuen Kraftstofffilter einbauen,,4,,Installare il nuovo filtro,,4,
,Petit cliquet + rallonge,,T9,,Small socket wrench + extender,,,,Llave de carraca pequeña + alargador,,,,Kleiner Steckschlüssel + Verlängerung,,,,Chiave a bussola piccola + prolunga,,,
,Douille de 10,,T34.10,,10mm Socket,,,,Casquillo del 10,,,,10 mm Steckschlüsseleinsatz,,,,Bussola da 10,,,
,Tournevis plat,,T21,,Flat head screwdriver,,,,Destornillador plano,,,,Flachschraubenzieher,,,,Cacciavite a taglio,,,
,Clé plate de 12,,T1.12,,12mm Spanner,,,,Llave plana del 12,,,,12er Maulschlüssel,,,,Chiave inglese da 12,,,
,Essuie-tout,,T63,,Paper towel,,,,Papel de cocina,,,,Haushaltspapier,,,,Carta assorbente,,,
,Changer le filtre à air,,,01.05,Changing the air filter,,,01.05,Cambiar el filtro de aire,,,01.05,Den Luftfilter wechseln,,,01.05,Cambiare il filtro dell'aria,,,01.05
