FR,,,,,EN,,,,ES,,,,DE,,,,IT,,,
,Véhicule,,,,Vehicle,,,,Vehículo,,,,Fahrzeug zurückstellen,,,,Veicolo,,,
,Changer les plaquettes,,,01,Changing the brake pads,,,01,Cambiar las pastillas,,,01,Die Bremsbeläge wechseln,,,01,Cambiare le pastiglie dei freni,,,01
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer les plaquettes,,2,,Removing the brake pads,,2,,Retirar las pastillas,,2,,Die Bremsbeläge entfernen,,2,,Rimuovere le pastiglie,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer les plaquettes,,3,,Changing the brake pads,,3,,Cambiar las pastillas,,3,,Die Bremsbeläge wechseln,,3,,Cambiare le pastiglie,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place le véhicule,,4,,Putting the vehicle back in place,,4,,Volver a colocar el vehículo,,4,,Das Fahrzeug zurückstellen,,4,,Rimettere a posto il veicolo,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer disques et plaquettes,,,02,Changing the brake discs and pads,,,02,Cambiar los discos y pastillas,,,02,Die Bremsscheiben und -beläge wechseln,,,02,Cambiare il disco e le pastiglie,,,02
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer le disque,,2,,Removing the brake disc,,2,,Retirar el disco,,2,,Die Bremsscheibe entfernen,,2,,Rimuovere il disco ,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le disque,,3,,Changing the brake disc,,3,,Cambiar el disco,,3,,Die Bremsscheibe wechseln,,3,,Cambiare disco,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer les plaquettes,,4,,Changing the brake pads,,4,,Cambiar las pastillas,,4,,Die Bremsbeläge wechseln,,4,,Cambiare le pastiglie,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place le véhicule,,5,,Putting the vehicle back in place,,5,,Volver a colocar el vehículo,,5,,Das Fahrzeug zurückstellen,,5,,Rimettere a posto il veicolo,,5,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le filtre à gasoil,,,03,Changing the diesel fuel filter,,,03,Cambiar el filtro de gasóil,,,03,Den Kraftstofffilter wechseln,,,03,Cambiare il filtro del gasolio ,,,03
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Retirer le filtre à gasoil,,2,,Removing the diesel fuel filter,,2,,Retirar el filtro de gasóil,,2,,Den Kraftstofffilter entfernen,,2,,Rimuovere il filtro del gasolio ,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Préparer le nouveau filtre à gasoil,,3,,Set up the new diesel fuel filter,,3,,Preparar el nuevo filtro de gasóil,,3,,Den neuen Kraftstofffilter vorbereiten,,3,,Preparare il nuovo filtro,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Installer le nouveau filtre à gasoil,,4,,Installing the new diesel fuel filter,,4,,Instalar el nuevo filtro de gasóil,,4,,Den neuen Kraftstofffilter einbauen,,4,,Installare il nuovo filtro,,4,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le filtre à essence ,,,04,Changing the gasoline fuel filter,,,04,Cambiar el filtro de gasolina,,,04,Den Benzinfilter wechseln,,,04,Cambiare il filtro della benzina,,,04
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le filtre à essence ,,2,,Changing the gasoline fuel filter,,2,,Cambiar el filtro de gasolina,,2,,Den Benzinfilter wechseln,,2,,Cambiare il filtro della benzina ,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Remettre en place le véhicule,,3,,Putting the vehicle back in place,,3,,Volver a colocar el vehículo,,3,,Das Fahrzeug zurückstellen,,3,,Rimettere a posto il veicolo,,3,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le filtre à air,,,05.01,Changing the air filter,,,05.01,Cambiar el filtro de aire,,,05.01,Den Luftfilter wechseln,,,05.01,Cambiare il filtro dell'aria,,,05.01
,Préparation à l'opération,,1,,Preparing for the task,,1,,Preparar la operación,,1,,Den Vorgang vorbereiten,,1,,Prepararsi all'operazione,,1,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Accéder au filtre à air,,2,,Accessing the air filter,,2,,Acceder al filtro de aire,,2,,Zugang zum Luftfilter schaffen,,2,,Accedere al filtro dell'aria,,2,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Changer le filtre  à air,,3,,Changing the air filter,,3,,Cambiar el filtro de aire,,3,,Den Luftfilter wechseln,,3,,Cambiare il filtro dell'aria,,3,
