,Outils FR,,Code,Code icône,,Tools EN,,Code,,Herramientas ES,,Codigo,,Werkzeuge DE,,Code,,Attrezzi IT,,Codice
,,,,,,,,,,,,,,,,,,,,
,Pas d'outils nécessaires,,T0,IT0,,No tools needed,,,,No se necesitan herramientas,,,,Keine Werkzeuge notwendig,,,,Non servono attrezzi,,
,Pas d'outils de levage nécessaires,,T0.1,IT0.1,,No lifting equipment necessary,,,,No necesitas herramientas de elevación,,,,Keine Hebewerkzeuge notwendig,,,,Non servono attrezzi di sollevamento,,
,,,,,,,,,,,,,,,,,,,,
,Clés,,,,,Wrenches,,,,Llaves,,,,Schlüssel,,,,Chiavi,,
,Clé plate,,T1,IT1,,Spanner,,,,Llave plana,,,,Maulschlüssel,,,,Chiave inglese,,
,Clé plate de 7,,T1.7,IT1,,7mm Spanner,,,,Llave plana del 7,,,,7er Maulschlüssel,,,,Chiave inglese da 7,,
,Clé plate de 8,,T1.8,IT1,,8mm Spanner,,,,Llave plana del 8,,,,8er Maulschlüssel,,,,Chiave inglese da 8,,
,Clé plate de 9,,T1.9,IT1,,9mm Spanner,,,,Llave plana del 9,,,,9er Maulschlüssel,,,,Chiave inglese da 9,,
,Clé plate de 10,,T1.10,IT1,,10mm Spanner,,,,Llave plana del 10,,,,10er Maulschlüssel,,,,Chiave inglese da 10,,
,Clé plate de 11,,T1.11,IT1,,11mm Spanner,,,,Llave plana del 11,,,,11er Maulschlüssel,,,,Chiave inglese da 11,,
,Clé plate de 12,,T1.12,IT1,,12mm Spanner,,,,Llave plana del 12,,,,12er Maulschlüssel,,,,Chiave inglese da 12,,
,Clé plate de 13,,T1.13,IT1,,13mm Spanner,,,,Llave plana del 13,,,,13er Maulschlüssel,,,,Chiave inglese da 13,,
,Clé plate de 14,,T1.14,IT1,,14mm Spanner,,,,Llave plana del 14,,,,14er Maulschlüssel,,,,Chiave inglese da 14,,
,Clé plate de 15,,T1.15,IT1,,15mm Spanner,,,,Llave plana del 15,,,,15er Maulschlüssel,,,,Chiave inglese da 15,,
,Clé plate de 16,,T1.16,IT1,,16mm Spanner,,,,Llave plana del 16,,,,16er Maulschlüssel,,,,Chiave inglese da 16,,
,Clé plate de 17,,T1.17,IT1,,17mm Spanner,,,,Llave plana del 17,,,,17er Maulschlüssel,,,,Chiave inglese da 17,,
,Clé plate de 18,,T1.18,IT1,,18mm Spanner,,,,Llave plana del 18,,,,18er Maulschlüssel,,,,Chiave inglese da 18,,
,Clé plate de 19,,T1.19,IT1,,19mm Spanner,,,,Llave plana del 19,,,,19er Maulschlüssel,,,,Chiave inglese da 19,,
,Clé plate de 20,,T1.20,IT1,,20mm Spanner,,,,Llave plana del 20,,,,20er Maulschlüssel,,,,Chiave inglese da 20,,
,Clé plate de 21,,T1.21,IT1,,21mm Spanner,,,,Llave plana del 21,,,,21er Maulschlüssel,,,,Chiave inglese da 21,,
,Clé plate de 22,,T1.22,IT1,,22mm Spanner,,,,Llave plana del 22,,,,22er Maulschlüssel,,,,Chiave inglese da 22,,
,Cliquet,,T2,IT2,,Socket wrench,,,,Llave de carraca,,,,Steckschlüssel,,,,Chiave a bussola,,
,Petit cliquet,,T3,IT2,,Small socket wrench,,,,Llave de carraca pequeña,,,,Kleiner Steckschlüssel,,,,Chiave a bussola piccola,,
,Grand cliquet,,T4,IT2,,Large socket wrench,,,,Llave de carraca grande,,,,Grosser Steckschlüssel,,,,Chiave a bussola grande,,
,Cliquet + rallonge,,T5,IT5,,Socket wrench + extender,,,,Llave de carraca + alargador,,,,Steckschlüssel + Verlängerung,,,,Chiave a bussola + prolunga,,
